T_Sys (K), T_Sample_Dif_Cool (K), T_Sample_Dif_Warm (K)
23.640000,30.183740,29.625008
23.910430,31.138744,29.356035
24.180861,31.831616,29.093436
24.451291,32.383974,28.833145
24.721722,33.030190,28.577241
24.992152,33.798180,28.326772
25.262583,34.200737,28.072793
25.533013,34.665932,27.820807
25.803443,35.198038,27.573235
26.073874,35.757472,27.327064
26.344304,36.138559,27.079337
26.614735,36.588986,26.834720
26.885165,37.051527,26.592535
27.155596,37.494508,26.350557
27.426026,37.860080,26.110461
27.696456,38.246147,25.871839
27.966887,38.618364,25.636041
28.237317,38.861515,25.397240
28.507748,39.082883,25.158878
28.778178,39.272665,24.923319
29.048609,39.481679,24.690643
29.319039,39.669743,24.458576
29.589469,39.834953,24.229983
29.859900,39.995442,24.003765
30.130330,40.156127,23.780953
30.400761,40.293912,23.560004
30.671191,40.422934,23.343642
30.941622,40.547699,23.128420
31.212052,40.605180,22.909805
31.482482,40.634524,22.688654
31.752913,40.681381,22.472399
32.023343,40.720436,22.256424
32.293774,40.757263,22.043448
32.564204,40.791894,21.831851
32.834635,40.836148,21.624823
33.105065,40.884483,21.419186
33.375495,40.973399,21.215318
33.645926,41.195662,21.016335
33.916356,41.408438,20.818931
34.186787,41.627643,20.627047
34.457217,41.834005,20.434790
34.727648,42.031127,20.245461
34.998078,42.215704,20.057070
35.268509,42.370710,19.872499
35.538939,42.552804,19.695366
35.809369,42.691236,19.516794
36.079800,42.836311,19.333795
36.350230,42.930512,19.150911
36.620661,43.000021,18.967771
36.891091,43.076253,18.787072
37.161522,43.151755,18.607400
37.431952,43.205520,18.428729
37.702382,43.261106,18.256944
37.972813,43.298974,18.082909
38.243243,43.345001,17.913215
38.513674,43.377150,17.741383
38.784104,43.411576,17.577081
39.054535,43.425155,17.411545
39.324965,43.451425,17.248073
39.595395,43.465317,17.087455
39.865826,43.477881,16.928238
40.136256,43.487122,16.773701
40.406687,43.486282,16.620728
40.677117,43.481047,16.467908
40.947548,43.466784,16.315198
41.217978,43.450700,16.172334
41.488408,43.432037,16.024603
41.758839,43.420919,15.886803
42.029269,43.395965,15.743217
42.299700,43.373489,15.605713
42.570130,43.336849,15.469615
42.840561,43.298749,15.337948
43.110991,43.261603,15.202155
43.381421,43.220864,15.078323
43.651852,43.176380,14.950453
43.922282,43.126640,14.826443
44.192713,43.083109,14.704205
44.463143,43.042940,14.585959
44.733574,42.995172,14.473181
45.004004,42.947869,14.362186
45.274434,42.892228,14.248827
45.544865,42.828391,14.138157
45.815295,42.776260,14.031215
46.085726,42.714692,13.925520
46.356156,42.657541,13.823496
46.626587,42.588900,13.718094
46.897017,42.521258,13.616147
47.167447,42.461607,13.515414
47.437878,42.388774,13.416096
47.708308,42.316407,13.317799
47.978739,42.244625,13.220598
48.249169,42.169289,13.119043
48.519600,42.089327,13.029941
48.790030,42.007213,12.929695
49.060460,41.925163,12.836861
49.330891,41.838760,12.745250
49.601321,41.747842,12.653530
49.871752,41.657150,12.564254
50.142182,41.567141,12.471296
50.412613,41.476207,12.384883
50.683043,41.377280,12.294292
50.953473,41.278935,12.208345
51.223904,41.180996,12.117415
51.494334,41.082694,12.031930
51.764765,40.981066,11.941544
52.035195,40.876419,11.851757
52.305626,40.771371,11.769853
52.576056,40.666910,11.688676
52.846486,40.558741,11.601399
53.116917,40.448698,11.514672
53.387347,40.336677,11.435793
53.657778,40.218114,11.350523
53.928208,40.101902,11.265769
54.198639,39.987941,11.181560
54.469069,39.874824,11.105431
54.739499,39.758572,11.016702
55.009930,39.638905,10.938759
55.280360,39.519579,10.853060
55.550791,39.398624,10.766746
55.821221,39.273744,10.686466
56.091652,39.151238,10.601120
56.362082,39.030079,10.516025
56.632513,38.906398,10.431616
56.902943,38.780893,10.347846
57.173373,38.651904,10.264383
57.443804,38.525168,10.179669
57.714234,38.399899,10.092396
57.984665,38.272479,10.010700
58.255095,38.144468,9.924576
58.525526,38.014631,9.838907
58.795956,37.885108,9.753666
59.066386,37.756071,9.673346
59.336817,37.623875,9.591086
59.607247,37.489717,9.500213
59.877678,37.356354,9.420359
60.148108,37.223232,9.338131
60.418539,37.095987,9.269187
60.688969,36.967734,9.189127
60.959399,36.830412,9.112868
61.229830,36.695063,9.035616
61.500260,36.566654,8.964080
61.770691,36.436228,8.898601
62.041121,36.302892,8.819328
62.311552,36.168573,8.746839
62.581982,36.033359,8.668931
62.852412,35.900173,8.594356
63.122843,35.768336,8.511696
63.393273,35.631604,8.442025
63.663704,35.492918,8.366173
63.934134,35.356428,8.290489
64.204565,35.220801,8.221563
64.474995,35.082133,8.141730
64.745425,34.942493,8.061896
65.015856,34.803165,7.988637
65.286286,34.663956,7.911058
65.556717,34.521596,7.838699
65.827147,34.378057,7.764099
66.097578,34.236365,7.684193
66.368008,34.095808,7.610002
66.638438,33.953128,7.532641
66.908869,33.808703,7.458144
67.179299,33.664642,7.376278
67.449730,33.521117,7.301848
67.720160,33.377227,7.221849
67.990591,33.232294,7.147906
68.261021,33.087259,7.063330
68.531451,32.941000,6.990575
68.801882,32.794741,6.913785
69.072312,32.647124,6.831559
69.342743,32.499284,6.750333
69.613173,32.355700,6.669602
